Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,350,49.820,1788186428039838.395	,1788186428039888.215	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,351,8.540,1788186428040009.415	,1788186428040017.955	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,352,41.700,1788186428041832.435	,1788186428041874.135	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,353,327.880,1788186428042501.735	,1788186428042829.615	
3,clear_ops,MIX_AIC,47,354,34.920,1788186428042831.215	,1788186428042866.135	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,355,0.800,1788186428042866.955	,1788186428042867.755	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,356,0.700,1788186428042867.775	,1788186428042868.475	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,357,0.760,1788186428042868.495	,1788186428042869.255	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,358,0.780,1788186428042883.315	,1788186428042884.095	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,359,0.720,1788186428042928.535	,1788186428042929.255	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,360,0.740,1788186428042962.575	,1788186428042963.315	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,361,49.440,1788186428044606.455	,1788186428044655.895	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,362,13.340,1788186428044768.375	,1788186428044781.715	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,363,41.900,1788186428046596.835	,1788186428046638.735	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,364,327.700,1788186428047270.175	,1788186428047597.875	
3,clear_ops,MIX_AIC,47,365,34.600,1788186428047599.115	,1788186428047633.715	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,366,0.880,1788186428047634.895	,1788186428047635.775	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,367,0.760,1788186428047635.815	,1788186428047636.575	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,368,0.840,1788186428047636.595	,1788186428047637.435	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,369,0.840,1788186428047643.515	,1788186428047644.355	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,370,0.740,1788186428047683.455	,1788186428047684.195	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,371,0.740,1788186428047737.115	,1788186428047737.855	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,372,52.460,1788186428049361.255	,1788186428049413.715	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,373,8.200,1788186428049526.175	,1788186428049534.375	
